2026-04-27 17:07:55.171875
segundo,ampere,volt,NA,segundo,volt,volt
Tiempo,Corriente,Pulso,CantidadPulsos,AnchoPulso,Tension fija,Vds
0,2.4557e-11,0,0,0,0,-5
0.003,2.4557e-11,-11.0,0,0.3,0,-5
0.006,2.4557e-11,-11.0,0,0.3,0,-5
0.009000000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.012,2.4557e-11,-11.0,0,0.3,0,-5
0.015,2.4557e-11,-11.0,0,0.3,0,-5
0.018,2.4557e-11,-11.0,0,0.3,0,-5
0.020999999999999998,2.4557e-11,-11.0,0,0.3,0,-5
0.023999999999999997,2.4557e-11,-11.0,0,0.3,0,-5
0.026999999999999996,2.4557e-11,-11.0,0,0.3,0,-5
0.029999999999999995,2.4557e-11,-11.0,0,0.3,0,-5
0.032999999999999995,2.4557e-11,-11.0,0,0.3,0,-5
0.036,2.4557e-11,-11.0,0,0.3,0,-5
0.039,2.4557e-11,-11.0,0,0.3,0,-5
0.042,2.4557e-11,-11.0,0,0.3,0,-5
0.045000000000000005,2.4557e-11,-11.0,0,0.3,0,-5
0.04800000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.05100000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.05400000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.057000000000000016,2.4557e-11,-11.0,0,0.3,0,-5
0.06000000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.06300000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.06600000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.06900000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.07200000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.07500000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.07800000000000003,2.4557e-11,-11.0,0,0.3,0,-5
0.08100000000000003,2.4557e-11,-11.0,0,0.3,0,-5
0.08400000000000003,2.4557e-11,-11.0,0,0.3,0,-5
0.08700000000000004,2.4557e-11,-11.0,0,0.3,0,-5
0.09000000000000004,2.4557e-11,-11.0,0,0.3,0,-5
0.09300000000000004,2.4557e-11,-11.0,0,0.3,0,-5
0.09600000000000004,2.4557e-11,-11.0,0,0.3,0,-5
0.09900000000000005,2.4557e-11,-11.0,0,0.3,0,-5
0.10200000000000005,2.4557e-11,-11.0,0,0.3,0,-5
0.10500000000000005,2.4557e-11,-11.0,0,0.3,0,-5
0.10800000000000005,2.4557e-11,-11.0,0,0.3,0,-5
0.11100000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.11400000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.11700000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.12000000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.12300000000000007,2.4557e-11,-11.0,0,0.3,0,-5
0.12600000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.12900000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.13200000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.13500000000000006,2.4557e-11,-11.0,0,0.3,0,-5
0.13800000000000007,2.4557e-11,-11.0,0,0.3,0,-5
0.14100000000000007,2.4557e-11,-11.0,0,0.3,0,-5
0.14400000000000007,2.4557e-11,-11.0,0,0.3,0,-5
0.14700000000000008,2.4557e-11,-11.0,0,0.3,0,-5
0.15000000000000008,2.4557e-11,-11.0,0,0.3,0,-5
0.15300000000000008,2.4557e-11,-11.0,0,0.3,0,-5
0.15600000000000008,2.4557e-11,-11.0,0,0.3,0,-5
0.15900000000000009,2.4557e-11,-11.0,0,0.3,0,-5
0.1620000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1650000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1680000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1710000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1740000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1770000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1800000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1830000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1860000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.1890000000000001,2.4557e-11,-11.0,0,0.3,0,-5
0.19200000000000012,2.4557e-11,-11.0,0,0.3,0,-5
0.19500000000000012,2.4557e-11,-11.0,0,0.3,0,-5
0.19800000000000012,2.4557e-11,-11.0,0,0.3,0,-5
0.20100000000000012,2.4557e-11,-11.0,0,0.3,0,-5
0.20400000000000013,2.4557e-11,-11.0,0,0.3,0,-5
0.20700000000000013,2.4557e-11,-11.0,0,0.3,0,-5
0.21000000000000013,2.4557e-11,-11.0,0,0.3,0,-5
0.21300000000000013,2.4557e-11,-11.0,0,0.3,0,-5
0.21600000000000014,2.4557e-11,-11.0,0,0.3,0,-5
0.21900000000000014,2.4557e-11,-11.0,0,0.3,0,-5
0.22200000000000014,2.4557e-11,-11.0,0,0.3,0,-5
0.22500000000000014,2.4557e-11,-11.0,0,0.3,0,-5
0.22800000000000015,2.4557e-11,-11.0,0,0.3,0,-5
0.23100000000000015,2.4557e-11,-11.0,0,0.3,0,-5
0.23400000000000015,2.4557e-11,-11.0,0,0.3,0,-5
0.23700000000000015,2.4557e-11,-11.0,0,0.3,0,-5
0.24000000000000016,2.4557e-11,-11.0,0,0.3,0,-5
0.24300000000000016,2.4557e-11,-11.0,0,0.3,0,-5
0.24600000000000016,2.4557e-11,-11.0,0,0.3,0,-5
0.24900000000000017,2.4557e-11,-11.0,0,0.3,0,-5
0.25200000000000017,2.4557e-11,-11.0,0,0.3,0,-5
0.25500000000000017,2.4557e-11,-11.0,0,0.3,0,-5
0.2580000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2610000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2640000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2670000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2700000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2730000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2760000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2790000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2820000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2850000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2880000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2910000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2940000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.2970000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.3000000000000002,2.4557e-11,-11.0,0,0.3,0,-5
0.3030000000000002,2.4557e-11,0,0,0.3,0,-5
0.3060000000000002,2.4557e-11,0,0,0.3,0,-5
0.3090000000000002,2.4557e-11,0,0,0.3,0,-5
0.3120000000000002,2.4557e-11,0,0,0.3,0,-5
0.3150000000000002,2.4557e-11,0,0,0.3,0,-5
0.3180000000000002,2.4557e-11,0,0,0.3,0,-5
0.32100000000000023,2.4557e-11,0,0,0.3,0,-5
0.32400000000000023,2.4557e-11,0,0,0.3,0,-5
0.32700000000000023,2.4557e-11,0,0,0.3,0,-5
0.33000000000000024,2.4557e-11,0,0,0.3,0,-5
0.33300000000000024,2.4557e-11,0,0,0.3,0,-5
0.33600000000000024,2.4557e-11,0,0,0.3,0,-5
0.33900000000000025,2.4557e-11,0,0,0.3,0,-5
0.34200000000000025,2.4557e-11,0,0,0.3,0,-5
0.34500000000000025,2.4557e-11,0,0,0.3,0,-5
0.34800000000000025,2.4557e-11,0,0,0.3,0,-5
0.35100000000000026,2.4557e-11,0,0,0.3,0,-5
0.35400000000000026,2.4557e-11,0,0,0.3,0,-5
0.35700000000000026,2.4557e-11,0,0,0.3,0,-5
0.36000000000000026,2.4557e-11,0,0,0.3,0,-5
0.36300000000000027,2.4557e-11,0,0,0.3,0,-5
0.36600000000000027,2.4557e-11,0,0,0.3,0,-5
0.36900000000000027,2.4557e-11,0,0,0.3,0,-5
0.3720000000000003,2.4557e-11,0,0,0.3,0,-5
0.3750000000000003,2.4557e-11,0,0,0.3,0,-5
0.3780000000000003,2.4557e-11,0,0,0.3,0,-5
0.3810000000000003,2.4557e-11,0,0,0.3,0,-5
0.3840000000000003,2.4557e-11,0,0,0.3,0,-5
0.3870000000000003,2.4557e-11,0,0,0.3,0,-5
0.3900000000000003,2.4557e-11,0,0,0.3,0,-5
0.3930000000000003,2.4557e-11,0,0,0.3,0,-5
0.3960000000000003,2.4557e-11,0,0,0.3,0,-5
0.3990000000000003,2.4557e-11,0,0,0.3,0,-5
0.4020000000000003,2.4557e-11,0,0,0.3,0,-5
0.4050000000000003,2.4557e-11,0,0,0.3,0,-5
0.4080000000000003,2.4557e-11,0,0,0.3,0,-5
0.4110000000000003,2.4557e-11,0,0,0.3,0,-5
0.4140000000000003,2.4557e-11,0,0,0.3,0,-5
0.4170000000000003,2.4557e-11,0,0,0.3,0,-5
0.4200000000000003,2.4557e-11,0,0,0.3,0,-5
0.4230000000000003,2.4557e-11,0,0,0.3,0,-5
0.4260000000000003,2.4557e-11,0,0,0.3,0,-5
